"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Europe & Central Asia (developing only)","ECA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23180838.8782475","23506612.6349905","30273205.0406742","28004798.3529773","23027231.6045203","28880375.8295726","33522826.7528595","38433546.4809499","42589317.0462934","52449846.2480849","57729392.4728572","60013600.0341006","76652392.1136398","85175289.8534685","79403901.1491513","82283425.0928591","90910920.7118748","98042372.9853462","104503885.18028","","",
"Europe & Central Asia (all income levels)","ECS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","311952717.9009","328158340.239464","352601269.388486","362948201.377123","371133110.618586","400546254.831034","400087321.174737","412720985.411295","416101953.442253","433808712.974633","454825724.552444","477720708.180117","504302807.807677","506397331.330646","480033156.397239","494143574.117971","526841332.79441","547037292.126311","574964767.55672","","",
"Ecuador","ECU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","440000","494000","529000","511000","518000","627000","641000","683000","761000","819000","860000","841000","937000","1005000","968000","1047000","1141000","1272000","1364000","","",
"Egypt, Arab Rep.","EGY","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2871000","3528000","3656000","3213000","4490000","5116000","4357000","4906000","5746000","7795000","8244000","8646000","10610000","12296000","11914000","14051000","9497000","11196000","9174000","","",
"Euro area","EMU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202750038.964714","208819699.869911","222255454.106658","234469212.228614","245915782.542173","260498637.499274","258613187.78688","264172454.147541","263825000","264791000","273959000","290598000","299857000","296289000","282473000","290319000","308147000","314802000","328723621.201218","","",
"Eritrea","ERI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","315000","417000","410000","188000","57000","70000","113000","101000","80000","87000","83000","78000","81000","70000","79000","84000","107000","","","","",
"Spain","ESP","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34920000","36221000","39553000","41892000","45440000","46403000","48565000","50331000","50854000","52430000","55914000","58004000","58666000","57192000","52178000","52677000","56177000","57464000","60661000","","",
"Estonia","EST","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","530000","665000","730000","825000","950000","1220000","1320000","1362000","1462000","1750000","1917000","1940000","1900000","2079000","2059000","2372000","2665000","2744000","2868000","","",
"Ethiopia","ETH","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103000","109000","139000","112000","115000","136000","148000","156000","180000","184000","227000","330000","358000","383000","427000","468000","523000","597000","681000","","",
"European Union","EUU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","274244887.857987","282811570.052012","298950859.599805","311318544.277224","321543642.910007","341733843.470519","336061384.237435","342715573.767611","344647748.451227","354257000","369061000","388888000","399650000","394456000","375464000","385362000","406513000","416621000","435029214.659247","","",
"Fragile and conflict affected situations","FCS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5698856.24602177","6708918.58289901","6541659.05781669","8004832.93016906","8358712.86896737","9214483.88989828","9556407.4967838","10091853.0074287","10773723.6171938","12236644.0413737","12569132.0435443","15191458.3602897","16158181.4450558","17790283.6020117","19921193.4534563","24199322.4102916","19710116.4002043","","","","",
"Finland","FIN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2644000","2454000","2714000","2826000","2875000","2601000","2840000","3140000","3375000","3519000","3583000","3423000","3670000","4192000","4226000","","","",
"Fiji","FJI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","318000","340000","359000","371000","410000","294000","348000","398000","431000","504000","545000","549000","540000","585000","542000","632000","675000","661000","658000","","",
"France","FRA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60033000","62406000","66591000","70109000","73147000","77190000","75202000","77012000","75048000","74433000","74988000","77916000","80853000","79218000","76764000","77648000","81550000","83051000","84726000","","",
"Faeroe Islands","FRO","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18000","17000","13000","16000","21000","15000","19000","18000","19000","19000","19000","21000","26000","48000","45000","35000","38000","42000","","",
"Gabon","GAB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125000","145000","167000","195000","178000","155000","169000","208000","222000","244000","269000","","","","","","","","","","",
"United Kingdom","GBR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21719000","22936000","23215000","23710000","23341000","23212000","20982000","22307000","22787000","25678000","28039000","30654000","30870000","30142000","28199000","28295000","29306000","29282000","31169000","","",
"Georgia","GEO","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85000","117000","313000","317000","384000","387000","302000","298000","313000","368000","560000","983000","1052000","1290000","1500000","2032000","2822000","4428000","5392000","","",
"Ghana","GHA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","286000","305000","325000","348000","373000","399000","439000","483000","531000","584000","429000","497000","587000","698000","803000","931000","","","","","",
"Guinea","GIN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000","17000","23000","27000","33000","38000","43000","44000","45000","45000","46000","30000","24000","","12000","131000","96000","56000","","",
"Gambia, The","GMB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45000","77000","85000","91000","96000","79000","57000","81000","89000","90000","108000","125000","143000","147000","142000","91000","106000","157000","171000","","",
"Guinea-Bissau","GNB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000","","","","5000","12000","30000","","","","","","","","",
"Equatorial Guinea","GNQ","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10130000","9233000","10070000","10916000","12164000","13096000","14057000","14180000","13969000","13313000","14765000","16039000","16165000","15939000","14915000","15007000","16427000","15518000","17920000","","",
